Iceland,Denmark,Croatia,Slovenia,United Arab Emirates,Saudi,Iraq,Kuwait,Canada,USA,France,Germany,UK,Belgium,China,Cuba,Vietnam,North Korea,Egypt,Nigeria,Kenya,Ethiopia,India,Bangladesh,Sri Lanka,Nepal,South Korea,Singapore,Brazil,Chile,Peru,Colombia
2.2,1.63,0.65,1.18,0.95,1.13,0.42,2.18,0.1,0.42,0.36,0.92,0.33,0.94,0.39,0.06,1.11,0.23,2.32,1.2,1.17,1.18,1.61,1.94,1.45,1.76,0.66,1.89,0,0,0,0
4.44,3.69,2.99,4.13,1.93,1.83,2.54,3.24,1.77,1.74,2.68,2.76,2.67,3.6,1.33,1.25,2.22,1.86,3.03,2.38,2.3,2.47,2.49,3.02,2.35,2.89,2.21,2.94,0.41,0.21,0.32,0.04
5.86,4.77,4.24,5.2,2.62,2.37,3.65,3.84,3.59,2.69,4.41,4.27,4.51,4.57,2.52,2.85,3.1,3.25,3.58,3.33,3.07,3.47,3.03,3.81,3.05,3.65,4.06,3.76,1.86,1.72,1.7,1.12
6.9,5.72,5.45,6.25,3.33,2.92,4.57,4.25,5.16,3.69,5.69,5.4,5.64,5.61,3.94,4.18,4.05,4.3,4.18,4.33,3.84,4.39,3.54,4.63,3.79,4.52,6.07,4.55,2.93,2.78,2.87,2.19
7.87,7.02,6.86,7.44,5.06,3.74,5.66,5.13,6.64,4.89,7.35,6.59,6.77,6.77,5.55,5.36,5.13,5.41,4.88,5.44,4.71,5.47,4.09,5.54,4.65,5.58,8.03,5.41,3.93,3.96,4.04,3.03
8.88,8.47,8.4,8.73,6.29,4.8,6.38,6.38,8.16,6.33,8.51,7.85,7.99,8.22,7.29,6.75,6.45,6.72,5.71,6.75,5.75,6.61,4.79,6.67,5.72,6.78,9.62,6.43,4.62,5.04,5.21,4.21
10.08,9.82,10.16,10.28,7.57,6.35,7.75,7.59,9.93,8.14,10.02,9.35,9.46,9.93,9.16,8.5,8.25,8.53,6.87,8.39,7.15,7.85,5.66,8.21,7.18,8.41,10.57,7.68,5.63,6.38,6.65,5.3
11.66,11.45,12.36,12.19,9.36,8.59,9.19,9.47,12.27,10.57,11.84,11.39,11.43,12.09,11.35,10.73,10.87,11.17,8.52,10.81,9.4,9.77,6.95,10.34,9.27,10.67,10.81,9.41,7.99,8.58,8.63,7.71
13.86,14.33,15.39,15.16,14.26,13.58,14.73,13.86,15.91,14.76,14.82,14.75,14.63,15.89,15.1,15.47,15.22,15.64,13.07,15.25,13.79,13.94,9.4,14.09,13.19,14.78,11.07,12.76,13.42,13.56,12.63,15.47
28.24,33.1,33.5,29.44,48.63,54.7,45.11,44.06,36.47,46.76,34.31,36.73,36.56,32.37,43.37,44.85,43.59,42.88,47.84,42.11,48.83,44.86,58.46,41.76,49.34,40.96,36.89,45.17,59.21,57.76,57.95,60.93
